Year,Cam_Win,Wgt_Winner,Wgt_Loser,Wgt_Diff
1829,0,155.75,155.75,0
1830,,,,
1831,,,,
1832,,,,
1833,,,,
1834,,,,
1835,,,,
1836,1,162.625,161.75,0.875
1837,,,,
1838,,,,
1839,1,154.75,164.5,-9.75
1840,1,162,164.5,-2.5
1841,1,159.625,158.125,1.5
1842,0,163.625,157.75,-5.875
1843,,,,
1844,,,,
1845,1,156.625,163,-6.375
1846,1,162.375,158.5,3.875
1847,,,,
1848,,,,
1849,1,156.5,154.625,1.875
1850,0,159.875,159.75,-0.125
1851,,,,
1852,0,160.5,162.5,2
1853,,,,
1854,0,155.875,150.25,-5.625
1855,,,,
1856,1,163.375,154.625,8.75
1857,0,159.875,162,2.125
1858,1,161.875,164.625,-2.75
1859,0,162.75,159.5,-3.25
1860,1,160.5,164.5,-4
1861,0,158.25,158.875,0.625
1862,0,165.375,153.125,-12.25
1863,0,162.5,159.75,-2.75
1864,0,161.5,165.5,4
1865,0,165.25,163.875,-1.375
1866,0,166.75,165.375,-1.375
1867,0,168.375,166,-2.375
1868,0,165.625,165.875,0.25
1869,0,168.25,166.125,-2.125
1870,1,167.25,167.25,0
1871,1,169.375,172.125,-2.75
1872,1,166.875,165.125,1.75
1873,1,165,159.75,5.25
1874,1,166.125,163.125,3
1875,0,166.375,164.75,-1.625
1876,1,167.875,167.875,0
1877,,,,
1878,0,171.625,166.75,-4.875
1879,1,169.625,168.25,1.375
1880,0,167.25,163.5,-3.75
1881,0,165.75,163.75,-2
1882,0,165.125,166.625,1.5
1883,0,166,170.75,4.75
1884,1,167,166.75,0.25
1885,0,174.75,167,-7.75
1886,1,167.75,171.75,-4
1887,1,167.25,171.5,-4.25
1888,1,166,167.75,-1.75
1889,1,168.25,171.5,-3.25
1890,0,169.5,169.5,0
1891,0,171.75,164,-7.75
1892,0,171.375,165.875,-5.5
1893,0,171.125,168,-3.125
1894,0,171,164,-7
1895,0,169.875,168.75,-1.125
1896,0,174.5,173.5,-1
1897,0,174.25,173.375,-0.875
1898,0,175,174.5,-0.5
1899,1,170.25,173,-2.75
1900,1,172.625,172.375,0.25
1901,0,171.5,169.25,-2.25
1902,1,169.625,174.5,-4.875
1903,1,171.75,167.5,4.25
1904,1,162.75,163.75,-1
1905,0,166.625,168,1.375
1906,1,167.375,171.125,-3.75
1907,1,170.875,169,1.875
1908,1,171.25,169,2.25
1909,0,176.25,173.375,-2.875
1910,0,176.75,172.25,-4.5
1911,0,175.5,171.875,-3.625
1912,0,173.875,166.25,-7.625
1913,0,176.25,172.5,-3.75
1914,1,177.25,174,3.25
1915,,,,
1916,,,,
1917,,,,
1918,,,,
1919,,,,
1920,1,177,175.5,1.5
1921,1,180.5,175.5,5
1922,1,179,172,7
1923,0,176.5,176.875,0.375
1924,1,167.625,173.5,-5.875
1925,1,169.375,168.875,0.5
1926,1,171.75,178.5,-6.75
1927,1,171.375,176.625,-5.25
1928,1,177,174.125,2.875
1929,1,178,172.5,5.5
1930,1,176,174.5,1.5
1931,1,170.5,171.5,-1
1932,1,170.75,167.25,3.5
1933,1,173,172.375,0.625
1934,1,178.75,180.5,-1.75
1935,1,176.75,181,-4.25
1936,1,182.5,178.75,3.75
1937,0,181.5,173.5,-8
1938,0,181.75,174.5,-7.25
1939,1,177,173,4
1940,,,,
1941,,,,
1942,,,,
1943,,,,
1944,,,,
1945,,,,
1946,0,162.75,172.5,9.75
1947,1,172.875,166.75,6.125
1948,1,177.625,177.25,0.375
1949,1,178.5,176,2.5
1950,1,173,170,3
1951,1,175,181,-6
1952,0,182,184.5,2.5
1953,1,178,181,-3
1954,0,172,179.25,7.25
1955,1,184.5,173.5,11
1956,1,185,176,9
1957,1,179.5,187,-7.5
1958,1,185.125,182,3.125
1959,0,180.75,181.5,0.75
1960,0,177.5,177.125,-0.375
1961,1,179,180,-1
1962,1,182,184.75,-2.75
1963,0,182.125,174.5,-7.625
1964,1,188.5,189.5,-1
1965,0,186.25,190.25,4
1966,0,187.75,189,1.25
1967,0,191.25,193,1.75
1968,1,189.125,183.25,5.875
1969,1,191,188,3
1970,1,192.75,189.75,3
1971,1,188,190.25,-2.25
1972,1,193.125,184.875,8.25
1973,1,191,185.625,5.375
1974,0,187,187.25,0.25
1975,1,191.75,184.75,7
1976,0,196.625,192.125,-4.5
1977,0,191.5,185.125,-6.375
1978,0,190.25,191.75,1.5
1979,0,186.25,186.125,-0.125
1980,0,190.5,190.5,0
1981,0,190,188.5,-1.5
1982,0,195.875,185.25,-10.625
1983,0,204.75,197.5,-7.25
1984,0,194.5,183.5,-11
1985,0,195.125,191.125,-4
1986,1,191.125,196.875,-5.75
1987,0,202.25,194.5,-7.75
1988,0,207.5,187.5,-20
1989,0,195.25,206.125,10.875
1990,0,207.5,178.5,-29
1991,0,192.5,183,-9.5
1992,0,189,191.5,2.5
1993,1,192.5,194.25,-1.75
1994,1,202.75,201,1.75
1995,1,198,201,-3
1996,1,193.375,194.625,-1.25
1997,1,198.125,197.125,1
1998,1,209.375,196.375,13
1999,1,205.5,206,-0.5
2000,0,201.875,191,-10.875
2001,1,204,208.5,-4.5
2002,0,204.25,203,-1.25
2003,0,185.375,201.125,15.75
2004,1,197.5,198.5,-1
2005,0,216.8,195.1,-21.7
2006,0,203,203.56,0.563
2007,1,204.6,197.3,7.3
2008,0,216,204,12
2009,0,210.8125,215,-4.1875
2010,1,210.1875,208.5,1.6875
2011,0,200.5625,204.0625,-3.5
